player_id,full_name,position,nationality,shirt_number,team,matches_played,goals_scored,avg_minutes,starts
812,Boubacar Kamara,Midfielder,,,Aston Villa,0,0,0.0,0
813,Tyrone Mings,Defender,ENG,,Aston Villa,0,0,0.0,0
814,Pau Torres,Defender,,,Aston Villa,0,0,0.0,0
815,Evann Guessand,Forward,,,Aston Villa,0,0,0.0,0
816,Amadou Onana,Midfielder,,,Aston Villa,0,0,0.0,0
817,Youri Tielemans,Midfielder,,,Aston Villa,0,0,0.0,0
818,Emi Buendía,Forward,,,Aston Villa,0,0,0.0,0
819,Donyell Malen,Forward,,,Aston Villa,0,0,0.0,0
820,Lamare Bogarde,Midfielder,,,Aston Villa,0,0,0.0,0
821,Marco Bizot,Goalkeeper,,,Aston Villa,0,0,0.0,0
822,Ian Maatsen,Defender,,,Aston Villa,0,0,0.0,0
824,Jadon Sancho,Forward,ENG,,Aston Villa,0,0,0.0,0
825,Ross Barkley,Midfielder,ENG,,Aston Villa,0,0,0.0,0
826,Victor Lindelöf,Midfielder,,,Aston Villa,0,0,0.0,0
827,Bradley Burrowes,Defender,ENG,,Aston Villa,0,0,0.0,0
828,Benjamin Broggio,Forward,ENG,,Aston Villa,0,0,0.0,0
829,Samuel Iling-Junior,Defender,ENG,,Aston Villa,0,0,0.0,0
830,Jamaldeen Jimoh,Midfielder,ENG,,Aston Villa,0,0,0.0,0
831,Travis Patterson,Defender,ENG,,Aston Villa,0,0,0.0,0
832,Sam Proctor,Goalkeeper,ENG,,Aston Villa,0,0,0.0,0
833,Triston Rowe,Defender,ENG,,Aston Villa,0,0,0.0,0
834,James Wright,Goalkeeper,ENG,,Aston Villa,0,0,0.0,0
835,Nathan Collins,Defender,,,Brentford,0,0,0.0,0
836,Sepp van den Berg,Defender,,,Brentford,0,0,0.0,0
837,Caoimhín Kelleher,Goalkeeper,,,Brentford,0,0,0.0,0
838,Michael Kayode,Defender,,,Brentford,0,0,0.0,0
840,Yehor Yarmoliuk,Midfielder,,,Brentford,0,0,0.0,0
841,Kevin Schade,Forward,,,Brentford,0,0,0.0,0
842,Jordan Henderson,Midfielder,ENG,,Brentford,0,0,0.0,0
